Date,Month,MonthSort,Week
"Tuesday, January 1, 2019",Jan,1,1
"Sunday, January 6, 2019",Jan,1,2
"Sunday, January 13, 2019",Jan,1,3
"Sunday, January 20, 2019",Jan,1,4
"Sunday, January 27, 2019",Jan,1,5
"Sunday, February 3, 2019",Feb,2,6
"Sunday, February 10, 2019",Feb,2,7
"Sunday, February 17, 2019",Feb,2,8
"Sunday, February 24, 2019",Feb,2,9
"Sunday, March 3, 2019",Mar,3,10
"Sunday, March 10, 2019",Mar,3,11
"Sunday, March 17, 2019",Mar,3,12
"Sunday, March 24, 2019",Mar,3,13
"Sunday, March 31, 2019",Mar,3,14
"Sunday, April 7, 2019",Apr,4,15
"Sunday, April 14, 2019",Apr,4,16
"Sunday, April 21, 2019",Apr,4,17
"Sunday, April 28, 2019",Apr,4,18
"Sunday, May 5, 2019",May,5,19
"Sunday, May 12, 2019",May,5,20
"Sunday, May 19, 2019",May,5,21
"Sunday, May 26, 2019",May,5,22
"Sunday, June 2, 2019",Jun,6,23
"Sunday, June 9, 2019",Jun,6,24
"Sunday, June 16, 2019",Jun,6,25
"Sunday, June 23, 2019",Jun,6,26
"Sunday, June 30, 2019",Jun,6,27
