Product,ProductID,Category,CategoryID,Segment,SegmentID,Product Image,Category Image,Segement Color,Segment image,Price,Price Range
Access,1,Office 365,1,Red,7,https://imagizer.imageshack.com/img922/7323/3sUuJX.png,https://imagizer.imageshack.com/img921/2570/xI1aKn.png,https://imagizer.imageshack.com/img921/9356/XhzmLh.png,https://imagizer.imageshack.com/img924/4307/XTPE33.png,$50 ,$40 - $70
Excel,2,Office 365,1,Jade,4,https://imagizer.imageshack.com/img922/8595/yALd07.png,https://imagizer.imageshack.com/img923/6567/lBHrrX.png,https://imagizer.imageshack.com/img921/5287/BxSePV.png,https://imagizer.imageshack.com/img924/4307/XTPE33.png,$50 ,$40 - $70
Exchange,3,Office 365,1,Cyan,1,https://imagizer.imageshack.com/img921/8353/UTn7RA.png,https://imagizer.imageshack.com/img924/4197/2ltX5o.png,https://imagizer.imageshack.com/img923/9254/Q5a8Fl.png,https://imagizer.imageshack.com/img924/4307/XTPE33.png,$50 ,$40 - $70
OneNote,4,Office 365,1,Magenta,8,https://imagizer.imageshack.com/img922/6473/bYxqkp.png,https://imagizer.imageshack.com/img921/8854/jDCqvy.png,https://imagizer.imageshack.com/img924/6308/zofvQn.png,https://imagizer.imageshack.com/img924/4307/XTPE33.png,$98 ,>$70
Outlook,5,Office 365,1,Cyan,1,https://imagizer.imageshack.com/img924/7428/r4lhkA.png,https://imagizer.imageshack.com/img923/9278/zuOAGN.png,https://imagizer.imageshack.com/img924/6308/zofvQn.png,https://imagizer.imageshack.com/img924/4307/XTPE33.png,$48 ,$40 - $70
PowerPoint,6,Office 365,1,Orange,6,https://imagizer.imageshack.com/img922/918/cRjyuw.png,https://imagizer.imageshack.com/img922/5623/JeGJes.png,https://imagizer.imageshack.com/img924/6041/EjtdG3.png,https://imagizer.imageshack.com/img924/4307/XTPE33.png,$80 ,>$70
Publisher,7,Office 365,1,Turquoise,3,https://imagizer.imageshack.com/img922/3343/yXfey2.png,https://imagizer.imageshack.com/img922/6189/45GOh9.png,https://imagizer.imageshack.com/img921/4733/nntkIJ.png,https://imagizer.imageshack.com/img924/4307/XTPE33.png,$85 ,>$70
SharePoint,8,Office 365,1,Turquoise,3,https://imagizer.imageshack.com/img923/8037/3ivnZQ.png,https://imagizer.imageshack.com/img921/1517/SOFuG5.png,https://imagizer.imageshack.com/img921/4733/nntkIJ.png,https://imagizer.imageshack.com/img924/4307/XTPE33.png,$60 ,$40 - $70
Skype,9,Office 365,1,Cyan,1,https://imagizer.imageshack.com/img924/8061/q2tFhJ.png,https://imagizer.imageshack.com/img924/6985/C6GJXS.png,https://imagizer.imageshack.com/img924/6308/zofvQn.png,https://imagizer.imageshack.com/img924/4307/XTPE33.png,$45 ,$40 - $70
Visio,10,Office 365,1,Royal Blue,2,https://imagizer.imageshack.com/img923/6784/Pu5DI9.png,https://imagizer.imageshack.com/img922/8106/N06Fc1.png,https://imagizer.imageshack.com/img922/5337/KUgrHl.png,https://imagizer.imageshack.com/img924/4307/XTPE33.png,$40 ,$40 - $70
