StoreID,Store,Type,Longitude,Latitude,image
1,Abbas,External,-87.774353,41.965639,
2,Aliqui,External,-87.719251,42.012424,
3,Barba,External,-87.695392,41.958968,
4,Salvus,External,-87.742799,41.911624,
5,Fama,Internal,-87.908907,41.904651,
6,Leo,External,-87.747134,41.831725,
7,VanArsdel,External,-87.745508,41.765605,
8,Natura,External,-87.633043,41.740204,
9,Palma,Internal,-87.686287,41.721761,
10,Pirum,External,-87.800632,41.706594,
11,Pomum,External,-87.598982,41.696435,
12,Quibus,External,-87.861037,41.839119,
13,Contoso,Internal,-87.638602,41.837455,
14,Victoria,Internal,-87.675154,41.793668,
